,X.name,z,LogFlux1.100m,LogEnergy_Flux100,LogSignificance,Lognu,Lognufnu,Gaia_G_Magnitude,PL_Index,LogVariability_Index,LogPivot_Energy,LP_Index,LP_beta
1298,4FGL J2229.7-0832,1.56,-8.58335949266172,-10.3251388592622,1.81114780660971,12.6812412373756,-11.2027324591693,17.5812,2.5872872,2.80399838303803,2.5202846156931,2.4733105,0.099101566
1299,4FGL J2231.0-4416,1.326,-9.34969247686806,-11.3645162531851,1.28229319775601,12.9599948383284,-11.7695510786217,19.4778,2.42652,2.19020082973006,2.87230550450077,2.4025056,0.048072167
1300,4FGL J2232.6+1143,1.037,-7.31425826139774,-9.65757731917779,2.54399063376659,12.4698220159782,-11.3115801779973,16.3269,2.2865994,4.87512961596395,2.72529918830695,2.1985357,0.08347527
1301,4FGL J2232.6-2023,0.386,-9.72584215073632,-11.6270879970299,0.915197310728615,14.4800069429572,-12.3187587626244,19.8983,2.006182,1.15704137555393,3.51740449400403,2.102592,-0.076465994
1302,4FGL J2232.8+1334,0.214,-10.0333890133181,-11.8210230527068,0.731400454888921,18.4996870826184,-11.787812395596,17.7636,1.7825739,1.06505335062174,3.83390779990998,1.6677496,0.12092993
1303,4FGL J2235.3-4836,0.51,-9.12551818230053,-10.9788107009301,1.47941662047092,12.5502283530551,-11.4975728800156,17.3963,2.510891,2.0221337924233,2.78762329379731,2.501189,0.022354703
1304,4FGL J2236.2-1706,0.647,-9.42365864979421,-11.3178549236262,1.12267818033351,13.4955443375464,-12.0101054362812,18.7597,2.2252872,0.980393606483714,3.1456058239576,2.2011094,0.029026479
1305,4FGL J2236.3+2828,0.79,-8.32513885926219,-10.3872161432803,1.95936312828002,12.9580858485211,-11.1542819820333,18.6162,2.2683668,2.74160218004406,2.75996324572146,2.145769,0.10456762
1306,4FGL J2236.5-1433,0.325,-8.22767829327708,-10.1958605676646,2.00334599768928,13.0530784434834,-11.0767559813697,17.1551,2.1656477,3.2468013734601,2.80720202927518,2.0645523,0.071013294
1307,4FGL J2237.0-3921,0.297,-9.43297363384094,-11.2644011003018,1.2091690765213,13.0086001717619,-11.6073030467403,19.1967,2.38055,2.26206788722568,2.97767988106235,2.323634,0.083886735
1308,4FGL J2239.2-5657,0.569,-9.99139982823808,-11.8664610916298,0.662713701343688,15.4502491083194,-12.5044556624536,19.033,2.2719483,0.816415910941115,3.08227766697009,1.8981663,0.25437272
1309,4FGL J2241.2+4120,0.52,-9.30803489723264,-11.2612194415156,1.06417418241269,13.0413926851582,-12.1999706407559,18.2458,2.302726,1.3036368046462,3.28559796876908,2.3037343,-0.002921936
1310,4FGL J2243.4-2544,0.774,-8.74232142513082,-10.8326826652518,1.60507587648918,13.5998830720737,-11.4294570601181,16.8915,2.1290257,1.53776861327355,3.07583331884649,1.9986957,0.13093722
1311,4FGL J2243.7-1231,0.226,-9.36351210364663,-11.3151546383556,1.1535629919519,14.6551384348114,-11.8416375079047,18.3771,2.1107082,1.05836053368179,3.43296528444927,2.1930299,-0.06912038
1312,4FGL J2244.2+4057,1.171,-8.13667713987954,-10.2604276555499,1.98732839361569,12.7403626894942,-11.3798639450262,16.3037,2.118561,3.63363471813715,3.01249758327382,2.0258422,0.09648464
1313,4FGL J2244.9-0007,0.7,-9.78251605578609,-11.6882461389442,0.686696271031731,15.9201233262907,-12.2139587897574,19.8899,2.3145514,0.856699956587813,3.29382354617091,2.3050606,0.008051351
1314,4FGL J2245.9+1544,0.5965,-9.25026368443094,-11.1992829217176,1.23833678230239,14.3201462861111,-12.1580151954099,18.4056,1.9640502,1.45489354397688,3.52217518757077,1.8819261,0.07561085
1315,4FGL J2247.4-0001,0.949,-9.2518119729938,-11.170696227169,1.19659032270009,13.5301996982031,-11.7189666327523,18.4627,2.0609462,1.15866747685543,3.40732445488135,1.9898608,0.068986796
1316,4FGL J2247.5-3700,2.252,-10.0496351456239,-11.170696227169,0.61563074363133,12.399673721481,-12.2041199826559,19.158173,2.4237442,0.769725286966082,3.05842477168265,2.3258915,0.10945793
1317,4FGL J2248.7-3235,2.268,-9.58670023591875,-11.2949920406667,1.11104965048272,12.1271047983648,-12.1135092748275,18.5711,2.7611105,1.70248583653542,2.65006714700842,2.735675,0.037863344
1318,4FGL J2248.9+2106,1.274,-9.51144928349956,-11.5100415205752,1.00904654178487,12.4969296480732,-12.137868620687,20.0429,2.298017,1.48399675269433,3.15596964498762,2.214774,0.07849073
1319,4FGL J2249.4-1300,0.5,-9.08512818245995,-11.2652001704112,0.802027671379679,12.6503075231319,-11.7619538968712,20.7951,2.4080572,2.39381630576075,3.54143178342624,2.3676658,-0.03385422
1320,4FGL J2250.0+3825,0.119,-9.17392519729917,-11.0310503190187,1.37392366840533,16.3598354823399,-10.9546770212133,16.9231,1.7325429,1.43814459343472,3.70371268873937,1.713293,0.017218923
1321,4FGL J2250.4-4206,0.119,-9.39685562737982,-11.2932822176632,1.22523658301751,14.0606978403536,-11.8068754016455,17.8995,2.086344,1.49694154259996,3.25116184113718,2.0824473,0.004221038
1322,4FGL J2250.7-2806,0.525,-8.58169870868026,-10.5816987086803,1.7576765440444,12.698970004336,-11.9430951486635,19.1968,2.182358,2.78811263074802,2.94672130668081,2.0485015,0.09523596
1323,4FGL J2252.0+4031,0.229,-9.0096611452124,-10.966576244513,1.41118950775996,16.9400181550077,-11.112945621949,16.8362,2.0518248,1.37680030580566,3.33870444878468,2.0072346,0.03950261
1324,4FGL J2252.6+1245,0.496476,-9.88272870434424,-11.7212463990472,0.702547659523645,14.4345689040342,-12.2418453780326,18.5456,1.9442785,0.990905066641484,3.59686039615685,1.9361018,0.11333317
1325,4FGL J2253.7+1405,0.327,-9.69464863055338,-11.6234230429435,0.902777041094353,15.0755469613925,-11.8894102897008,18.4387,1.9587755,1.2807008569145,3.61476205774023,1.8936546,0.12553369
1326,4FGL J2253.9+1609,0.859,-7.06098022355133,-8.95467702121334,2.66759666657298,13.1105897102992,-10.334419008982,15.3716,2.396776,4.75101233907733,2.36614570480976,2.1620116,0.10028907
1327,4FGL J2254.8-2725,0.333,-9.45593195564972,-11.4546928835342,1.10847274326386,14.5705429398819,-11.9913998282381,18.1253,2.0121315,1.63193714348707,3.65688543058416,1.9967147,0.01524907
