GRBID	Fbest	F_min	F_max	T_abest	T_amin	T_amax	Alpha_best	Alpha_min	Alpha_max	Photonindex_plateau	Photonerror_min	Photon_errormax	Tt	Tfinal	Redshift	PeakFlux	PeakFluxErr	PhinPrompt	PhinPromptErr	Epeak	Epeakerr	T90	T90Err	Fluence	FluenceErr	PeakFlux	PeakErr	Gamma	NH	Beta	IndexErr
091109A	-11.14600534	-11.20541568	-11.086595	3.379338831	3.305069955	3.453607708	1.061528156	1.027808585	1.095247728	1.89	0.47	0.41	2.65	6	3.076	9.90E-08	1.82E-08	-1.36E+00	0.328056667	0.00E+00	0.00E+00	48	 1.695022e+01 	0.0000016	2	0.000000099	0.4	1.96352	7.87E+21	0.89	0.25
91127	-9.845087061	-9.863649576	-9.826524545	3.984668123	3.962732917	4.00660333	1.395817008	1.382229699	1.409404317	1.758	0.084594622	0.079711982	2	6.5	0.49	2.99E-06	1.07E-07	-1.83E+00	0.057248485	0.00E+00	0.00E+00	7.1	 1.503596e-01 	0.000009	3	0.00000299	2.7	1.80187	7.56E+20	0.758	0.07
091208B	-10.18031025	-10.21711667	-10.14350384	3.313880941	3.260952765	3.366809118	1.160654102	1.130151648	1.191156556	1.86	0.277713882	0.20838666	2	6	1.063	1.11E-06	4.82E-08	-1.49E+00	0.069439394	0.00E+00	0.00E+00	14.9	 3.360838e+00 	0.0000033	2	0.00000111	1.0	2.03333	8.17E+21	0.86	0.11
100219A	-12.13530676	-12.46170239	-11.80891114	4.721899099	4.618125636	4.825672562	3.692984743	2.962131341	4.423838146	1.46	0.14	0.13	2.9	5.2	4.7	3.15E-08	7.21E-09	-1.43E+00	0.376558182	0.00E+00	0.00E+00	18.8	 8.649852e+00 	0.00000037	0.6	3.15E-08	0.1	1.58721	2.66E+18	0.46	0.25
100316B	-11.14843575	-11.25274817	-11.04412333	3.554376695	3.347027934	3.761725455	1.362460631	1.229239671	1.495681591	2.08	0.24	0.2	2.2	6	1.18	7.75E-08	6.51E-09	-2.15E+00	0.134230303	0.00E+00	0.00E+00	3.8	 4.258075e-01 	0.0000002	0.2	7.75E-08	0.1	2.23535	2.59E+21	1.08	0.18
100418A	-12.4879	-12.5799	-12.365	5.54363	5.47702	5.62797	1.81145	1.63793	1.97365	1.84	0.24	0.22	3	6.5	0.624	5.03E-08	9.17E-09	-2.66E+00	0.381166667	0.00E+00	0.00E+00	7	 1.078080e+00 	0.00000034	0.5	5.03E-08	0.2	2.26662	4.16E+15	0.84	0.25
100425A	-11.50116648	-11.57202554	-11.43030741	3.601994145	3.486868609	3.717119681	0.86819371	0.813116815	0.923270604	2.46	0.55	0.48	2.5	6	1.755	7.34E-08	9.16E-09	-2.36E+00	0.198363636	0.00E+00	0.00E+00	37	 2.313897e+00 	0.00000047	0.9	7.34E-08	0.2	2.17077	3.43E+20	1.46	0.32
100513A	-11.57203392	-11.67021081	-11.47385703	3.745229112	3.616612494	3.873845729	0.963061356	0.90149192	1.024630793	2.36	0.42	0.37	3	6	4.772	4.77E-08	7.84E-09	-1.29E+00	0.26304697	0.00E+00	0.00E+00	84	 2.162838e+01 	0.0000014	1	4.77E-08	0.1	2.25722	1.13E+22	1.36	0.14
100625A	-10.87971113	-11.2413526	-10.51806966	2.438622571	2.199208507	2.678036635	1.846579684	1.603598183	2.089561185	2.08	0.63	0.28	1.9	4.3	0.452	2.49E-07	1.07E-08	-9.22E-01	0.072230606	0.00E+00	0.00E+00	0.33	 3.687817e-02 	0.00000023	0.2	0.000000249	0.2	2.40449	2.15E+20	1.08	0.10
100704A	-10.35197547	-10.39960993	-10.30434101	3.625034952	3.57139558	3.678674325	1.012942109	0.994802149	1.031082068	2.29	0.32	0.3	2.8	6.3	3.6	3.98E-07	1.39E-08	-5.65E-01	0.218560909	0.00E+00	0.00E+00	197.5	 2.338201e+01 	0.000006	2	0.000000398	0.2	2.11575	3.37E+21	1.29	0.06
100724A	-10.67686549	-10.82429366	-10.52943732	2.865025016	2.696096259	3.033953773	1.112376912	1.047374043	1.17737978	1.83	0.27	0.17	2	6	1.288	1.07E-07	1.12E-08	3.71E-02	0.767824242	0.00E+00	0.00E+00	1.4	 1.557947e-01 	0.00000016	0.2	0.000000107	0.2	1.94442	1.04E+21	0.83	0.21
100814A	-11.49332637	-11.53695273	-11.44970001	5.227294768	5.191947631	5.262641906	1.765329405	1.681314236	1.849344573	2.1425	0.276002264	0.241099564	2.8	6	1.44	2.74E-07	1.09E-08	4.08E-01	0.32669897	0.00E+00	0.00E+00	174.5	 1.080321e+01 	0.000009	2	0.000000274	0.2	1.89414	7.87E+20	1.1425	0.04
100816A	-11.55672426	-11.64347348	-11.46997504	3.978012985	3.865998981	4.09002699	1.044550126	0.997374972	1.09172528	2.09	0.34	0.31	2.8	6	0.8	1.61E-07	1.88E-08	-4.94E-01	0.162995758	0.00E+00	0.00E+00	2.9	 6.251399e-01 	0.000002	1	0.000000161	0.4	1.91138	2.23E+21	1.09	0.24
100901A	-11.3406	-11.3651	-11.3085	4.91124	4.89036	4.93886	1.50754	1.47701	1.54952	2.075	0.062	0.061	3	6.3	1.408	5.19E-08	1.07E-08	-1.84E+00	0.371821212	0.00E+00	0.00E+00	439	 2.178751e+01 	0.0000021	3	5.19E-08	0.2	2.07397	3.02E+21	1.075	0.21
101219B	-11.99592706	-12.08537333	-11.90648078	4.420039515	4.253210151	4.58686888	0.669181368	0.629790741	0.708571996	1.94	0.51	0.3	3.8	6.4	0.5519	1.15E-07	2.60E-08	-1.72E+00	0.244457576	0.00E+00	0.00E+00	34	 5.839452e+00 	0.0000021	4	0.000000115	0.3	1.85684	3.14E+20	0.94	0.16
110106B	-10.81420494	-10.85974849	-10.76866138	3.872039463	3.81332506	3.930753867	1.225198834	1.175307606	1.275090062	2.03	0.2	0.19	2	6	0.618	8.90E-08	1.55E-08	-5.16E-01	0.705016667	0.00E+00	0.00E+00	24.8	 1.659487e+01 	0.000002	1	0.000000089	0.3	2.05121	1.98E+21	1.03	0.11
110213A	-9.89698	-9.93009	-9.85833	3.84089	3.81962	3.86665	1.8412	1.81639	1.87209	2.1905	0.681520543	0.228795214	2.1	6	1.46	7.15E-08	1.88E-08	-2.82E+00	0.477678788	0.00E+00	0.00E+00	48	 1.600000e+01 	0.0000059	4	7.15E-08	0.6	1.96436	3.69E+21	1.1905	0.12
110422A	-9.681672985	-9.705810392	-9.657535579	3.500669708	3.471196996	3.530142421	1.422398856	1.39961914	1.445178572	1.778	0.112	0.102	2	6	1.77	2.73E-06	5.87E-08	-6.80E-01	0.138376061	0.00E+00	0.00E+00	25.9	 5.954494e-01 	0.000041	10	0.00000273	1.0	1.89199	1.05E+22	0.778	0.10
110503A	-9.082336001	-9.111334072	-9.05333793	2.541665548	2.512777587	2.570553509	1.146490626	1.140200712	1.15278054	1.687	0.061	0.059	1.9	6	1.61	2.79E-06	8.23E-08	-1.63E-01	0.201226364	0.00E+00	0.00E+00	10	 4.700710e+01 	0.00001	4	0.00000279	0.06	1.90907	1.37E+21	0.687	0.25
110715A	-9.075883162	-9.099659691	-9.052106632	2.611097194	2.575496314	2.646698075	0.958535376	0.9489813	0.968089452	1.755	0.074	0.071	1.9	6	0.82	4.24E-06	4.75E-08	-9.85E-01	0.079349697	0.00E+00	0.00E+00	13	 4.000000e+00 	0.0000118	2	0.00000424	1.1	1.85342	1.19E+22	0.755	0.12
110731A	-12.08537383	-12.18279233	-11.98795534	5.089520716	4.998817901	5.18022353	1.423519273	1.312663972	1.534374574	1.39	0.47	0.21	4.5	6	2.83	8.91E-07	1.88E-08	-7.74E-01	0.132797576	0.00E+00	0.00E+00	38.8	 1.159240e+01 	0.000006	1	0.000000891	0.3	1.85145	9.11E+21	0.39	0.05
110818A	-11.28292779	-11.33807684	-11.22777874	3.846274153	3.786625737	3.905922569	1.371677184	1.304338994	1.439015373	1.83	0.2	0.18	3.2	6	3.36	1.41E-07	1.50E-08	-1.11E+00	0.197767879	0.00E+00	0.00E+00	103	 1.800357e+01 	0.000004	2	0.000000141	0.3	1.95985	1.17E+22	0.83	0.11
111008A	-10.66765993	-10.69617102	-10.63914885	3.989933926	3.95425723	4.025610622	1.215842875	1.188491585	1.243194166	1.829	0.097	0.095	2.5	6	5	5.41E-07	3.91E-08	-1.26E+00	0.111360606	0.00E+00	0.00E+00	63.46	 2.259477e+00 	0.0000053	3	0.000000541	0.7	1.94053	1.48E+22	0.829	0.09
111123A	-11.60816955	-11.68125782	-11.53508128	4.42202873	4.351372959	4.492684501	1.467233707	1.361349561	1.573117854	2.25	0.24	0.23	3.7	5.5	3.1516	7.33E-08	7.49E-09	-1.33E+00	0.1614	0.00E+00	0.00E+00	290	 8.809086e+01 	0.0000073	3	7.33E-08	0.1	2.55463	2.24E+21	1.25	0.07
111228A	-10.65738581	-10.68750416	-10.62726747	4.106278347	4.069013922	4.143542772	1.152976617	1.129677346	1.176275889	1.99	0.11	0.11	2.7	6	0.716	8.06E-07	2.10E-08	-1.83E+00	0.045554545	0.00E+00	0.00E+00	101.2	 5.448429e+00 	0.0000085	2	0.000000806	0.5	2.03824	2.59E+21	0.99	0.06
120118B	-10.956	-11.068	-10.8336	3.68307	3.57391	3.83744	1.0241	0.953778	1.10809	2.01	0.26	0.25	2.5	5	2.943	1.38E-07	1.32E-08	-1.90E+00	0.142154545	0.00E+00	0.00E+00	23.26	 2.695277e+00 	0.0000018	1	0.000000138	0.3	2.20884	2.83E+21	1.01	0.11
120327A	-10.15210338	-10.1957283	-10.10847846	3.485172154	3.433493057	3.53685125	1.44859414	1.390591258	1.506597022	1.63	0.15	0.11	2.4	5.4	2.813	3.28E-07	1.12E-08	-1.25E+00	0.055466667	0.00E+00	0.00E+00	62.9	 7.028584e+00 	0.0000036	1	0.000000328	0.2	1.75797	1.47E+22	0.63	0.06
120404A	-11.0269	-11.1683	-10.9342	3.79948	3.75479	3.89136	1.90651	1.7885	2.03127	1.69	0.13	0.12	2.6	5.2	2.88	7.62E-08	1.09E-08	-1.84E+00	0.22980303	0.00E+00	0.00E+00	38.7	 4.091992e+00 	0.0000016	1	7.62E-08	0.2	1.89579	5.13E+21	0.69	0.13
120422A	-12.73909646	-12.85739888	-12.62079404	5.232666974	5.014848353	5.450485595	0.86153199	0.647080058	1.075983923	2.1	0.42	0.35	2.6	6.2	0.28	5.37E-08	9.21E-09	-1.00E+00	0.296906061	0.00E+00	0.00E+00	5.35	 5.727911e+00 	0.00000023	0.4	5.37E-08	0.2	2.32199	6.82E+16	1.1	0.24
120729A	-10.29748949	-10.36655781	-10.22842117	3.521384868	3.474090097	3.56867964	2.263127344	2.133038862	2.393215826	1.645	0.161012422	0.134350288	2.3	5	0.8	1.93E-07	1.01E-08	-7.77E-01	0.315375758	0.00E+00	0.00E+00	71.5	 3.663556e+01 	0.0000024	1	0.000000193	0.2	1.8831	2.23E+21	0.645	0.08
120802A	-11.17207165	-11.25010386	-11.09403944	3.538384192	3.31782698	3.758941404	0.542155161	0.423992871	0.660317451	1.91	0.31	0.2	2.4	4.3	3.796	2.08E-07	1.14E-08	-1.19E+00	0.3032	0.00E+00	0.00E+00	50	 3.103504e+01 	0.0000019	3	0.000000208	0.2	2.03526	1.32E+22	0.91	0.47
120811C	-10.14322956	-10.19617642	-10.0902827	3.159095907	3.074895606	3.243296209	1.016132987	0.978131997	1.054133977	1.65	0.40607881	0.224610774	2.3	6	2.67	2.60E-07	1.10E-08	-1.02E+00	0.252895455	0.00E+00	0.00E+00	26.8	 3.055921e+00 	0.000003	3	0.00000026	0.2	1.92121	8.26E+21	0.65	0.30
120907A	-10.37700557	-10.41830898	-10.33570216	3.211382703	3.149086009	3.273679396	1.053291038	1.024643767	1.081938308	1.78	0.17	0.16	2	6	0.97	2.28E-07	1.92E-08	-1.39E+00	0.130860606	0.00E+00	0.00E+00	16.9	 7.846528e-01 	0.00000067	1.1	0.000000228	0.4	1.82021	1.11E+21	0.78	0.25
120922A	-10.5957	-10.8072	-10.4799	3.59799	3.54452	3.81127	1.06622	1.03418	1.10544	2.17	0.24	0.23	2.9	6	3.1	1.06E-07	7.57E-09	-1.95E+00	0.115606061	0.00E+00	0.00E+00	173	 2.923869e+01 	0.0000062	7	0.000000106	0.2	2.06954	1.04E+21	1.17	0.36
121024A	-11.31120735	-11.37451325	-11.24790146	4.171788233	4.106353149	4.237223318	1.303535506	1.236874016	1.370196996	1.87	0.16	0.16	3	6	2.298	1.25E-07	1.40E-08	-1.07E+00	0.185487879	0.00E+00	0.00E+00	69	 3.172367e+01 	0.0000011	1	0.000000125	0.2	2.00683	8.83E+21	0.87	0.22
121027A	-11.92063319	-11.96221735	-11.87904904	5.409190417	5.371236686	5.447144148	1.509957635	1.451017941	1.568897328	2.16	0.14	0.14	4.5	6.6	1.773	9.14E-08	8.41E-09	-1.67E+00	0.147093939	0.00E+00	0.00E+00	62.6	 4.075690e+01 	0.000002	1	9.14E-08	0.2	2.37144	1.19E+22	1.16	0.09
121128A	-9.618411717	-9.64710174	-9.589721693	3.23392922	3.204133652	3.263724787	1.545465839	1.513020838	1.57791084	1.9455	0.127475488	0.106800047	2.2	5	2.2	1.04E-06	2.10E-08	-4.95E-01	0.136096061	0.00E+00	0.00E+00	23.3	 1.649514e+00 	0.0000069	4	0.00000104	0.4	1.98504	1.1E+22	0.9455	0.18
121211A	-11.28203604	-11.33628681	-11.22778526	4.209335181	4.146088022	4.272582339	1.156156118	1.081553289	1.230758946	1.95	0.15	0.14	3	5.75	1.023	9.84E-08	1.72E-08	-9.44E-01	0.337659697	0.00E+00	0.00E+00	182	 3.873146e+01 	0.0000013	2.67	9.84E-08	0.3	2.0682	4.59E+21	0.95	0.26
130408A	-10.3302	-10.4072	-10.2532	3.58393	3.51362	3.65423	1.39277	1.32847	1.45707	1.945	0.5352803	0.301039864	2	5.5	3.76	3.45E-07	5.90E-08	-1.78E+00	0.233224242	0.00E+00	0.00E+00	28	 6.807055e-01 	0.0000023	4	0.000000345	1.0	2.03183	1.16E+20	0.945	0.26
130418A	-9.24742	-9.30789	-9.18695	2.59006	2.52139	2.65873	1.28449	1.25287	1.31612	1.198	0.048	0.042	2.2	5.8	1.218	3.35E-08	7.95E-09	-2.57E+00	0.391493939	0.00E+00	0.00E+00	300	 3.931953e+01 	0.0000018	2	3.35E-08	0.2	1.68684	1.32E+21	0.198	0.17
130420A	-10.8721	-10.9272	-10.8171	3.56731	3.48196	3.65266	0.914676	0.885986	0.943367	2.17	0.15	0.14	2.8	6.2	1.297	2.16E-07	1.07E-08	-1.03E+00	0.294732121	0.00E+00	0.00E+00	123.5	 1.174938e+01 	0.0000071	3	0.000000216	0.2	2.29559	6.2E+20	1.17	0.25
130511A	-10.5162	-10.6	-10.4324	2.65954	2.57016	2.74893	1.16497	1.11581	1.21413	1.65	0.32	0.3	2	5	1.3033	9.85E-08	1.12E-08	-1.44E+00	0.169869697	0.00E+00	0.00E+00	5.43	 3.978543e-01 	0.00000022	0.4	9.85E-08	0.2	2.06879	1.03E+21	0.65	0.31
130514A	-10.7207	-10.7987	-10.6427	3.68772	3.60935	3.76608	1.17745	1.13557	1.21933	1.65	0.45	0.29	2.9	5.8	3.6	2.23E-07	1.31E-08	-1.50E+00	0.089178788	0.00E+00	0.00E+00	204	 1.732063e+01 	0.0000091	2	0.000000223	0.3	2.0604	1.58E+21	0.65	0.05
130603B	-10.5122	-10.5556	-10.4689	3.52927	3.48415	3.5744	1.50729	1.43647	1.57811	1.84	0.325729949	0.267441582	1.9	5.2	0.356	6.34E-07	1.72E-08	-8.53E-01	0.043810303	0.00E+00	0.00E+00	0.18	 2.400005e-02 	0.00000063	0.3	0.000000634	0.3	2.20112	2.26E+21	0.84	0.07
130606A	-10.1806	-10.2487	-10.1124	3.30222	3.2244	3.38004	1.37571	1.32385	1.42757	1.44	0.19	0.1	2.7	5.5	5.913	2.34E-07	1.14E-08	-1.01E+00	0.075648182	0.00E+00	0.00E+00	276.58	 1.963085e+01 	0.0000029	2	0.000000234	0.2	1.86465	1.78E+20	0.44	0.12
130831A	-9.89284	-9.94766	-9.83803	3.31959	3.23055	3.40864	1.28481	1.21754	1.35208	2.01	0.122065556	0.10404326	2.2	6	0.4791	9.44E-07	2.49E-08	-1.70E+00	0.04439697	0.00E+00	0.00E+00	32.5	 2.326272e+00 	0.0000065	0.2	0.000000944	0.6	1.79449	7.04E+19	1.01	0.05
130925A	-10.6253	-10.6877	-10.563	5.84588	5.78164	5.91012	1.38344	1.2566	1.51028	2.5915	0.826226361	0.412354217	4.2	6.5	0.347	4.68E-07	2.66E-08	-1.91E+00	0.094033333	0.00E+00	0.00E+00	161.1159999	 3.390408e+00 	0.000041	10	0.000000468	0.6	2.69002	9.81E+21	1.5915	0.14
131004A	-10.0154	-10.3553	-9.67559	3.19808	2.95348	3.44268	2.10218	1.82471	2.37965	2.09	0.29	0.27	2	4.5	0.71	2.21E-07	1.06E-08	-8.52E-01	0.288836364	0.00E+00	0.00E+00	1.54	 3.263372e-01 	0.00000028	0.2	0.000000221	0.2	2.21436	2.63E+21	1.09	0.11
131105A	-10.9111	-10.9445	-10.8778	3.9488	3.90091	3.99668	1.19347	1.14803	1.23891	1.94	0.17	0.16	2.6	6	1.686	2.68E-07	2.04E-09	-1.452	0.112	0.00E+00	0.00E+00	112.3	 4.102308e+00 	0.0000071	5	0.000000268	0.6	2.24976	2.13E+21	0.94	0.11
131117A	-10.8393	-10.9216	-10.757	2.87134	2.74673	2.99595	0.951056	0.9148	0.987311	1.86	0.28	0.23	2.2	5.5	4.042	4.28E-08	6.50E-09	9.54E-01	1.275690606	0.00E+00	0.00E+00	11	 2.811633e+00 	0.00000025	0.4	4.28E-08	0.1	2.15896	1.04E+22	0.86	1.41
140206A	-9.7298	-9.74279	-9.7168	3.59073	3.5694	3.61205	1.22509	1.20954	1.24063	1.672	0.117180416	0.073375745	2.6	6.2	2.7	1.69E-06	2.62E-08	-5.36E-01	0.107638182	0.00E+00	0.00E+00	93.6	 1.836108e+01 	0.000016	3	0.00000169	0.5	1.88134	1.01E+22	0.672	0.15
140423A	-10.8523	-10.9026	-10.8019	3.90552	3.85057	3.96047	1.18974	1.14462	1.23485	1.77	1.051712889	0.752013963	2.5	6	3.26	1.86E-07	1.42E-08	-1.19E+00	0.114142424	0.00E+00	0.00E+00	134	 2.310331e+01 	0.0000094	3	0.000000186	0.2	2.06486	6.6E+21	0.77	0.06
140430A	-11.3621	-11.4482	-11.276	4.14388	4.01317	4.27459	0.875171	0.791799	0.958544	2.03	0.28	0.21	3.6	5.2	1.6	1.85E-07	1.21E-08	-7.90E-01	0.339014545	0.00E+00	0.00E+00	173.6	 3.707420e+00 	0.0000011	2	0.000000185	0.2	2.15785	4.76E+21	1.03	0.22
140506A	-9.90438	-9.95954	-9.84922	3.30686	3.23804	3.37568	0.948932	0.933362	0.964502	1.9	0.423231615	0.327299557	2.8	6.2	0.889	8.67E-07	4.56E-08	-5.30E-01	0.365507273	0.00E+00	0.00E+00	111.1	 9.546715e+00 	0.0000028	3	0.000000867	0.9	1.74751	6.57E+21	0.9	0.16
140512A	-9.50443	-9.51947	-9.48939	3.53686	3.51457	3.55914	1.25134	1.23128	1.2714	1.871	0.103200048	0.098234414	2.4	5.5	0.725	5.13E-07	1.39E-08	-1.24E+00	0.042666667	0.00E+00	0.00E+00	154.8	 4.652795e+00 	0.000014	3	0.000000513	0.3	1.84304	2.13E+21	0.871	0.04
140518A	-11.3117	-11.4022	-11.2213	3.77824	3.70812	3.84837	1.64981	1.46162	1.838	1.94	0.14	0.14	2.4	4.5	4.707	5.98E-08	7.35E-09	2.53E-01	0.848900909	0.00E+00	0.00E+00	60.5	 2.482379e+00 	0.000001	1	5.98E-08	0.1	1.93772	2.89E+22	0.94	0.61
140629A	-9.84891	-9.8917	-9.80613	2.85608	2.79447	2.91769	1.16056	1.12555	1.19557	1.815	0.109658561	0.106301458	2	5.2	2.3	3.50E-07	1.87E-08	-1.35E+00	0.082972727	0.00E+00	0.00E+00	42	 1.162265e+01 	0.0000024	2	0.00000035	0.4	1.95996	5.53E+21	0.815	0.11
140903A	-11.3095	-11.3735	-11.2456	4.29222	4.21807	4.36638	1.22723	1.11695	1.33752	1.57	0.15	0.15	2.4	5.2	0.351	1.52E-07	8.04E-09	-2.03E+00	0.085824242	0.00E+00	0.00E+00	0.3	 3.417603e-02 	0.00000014	0.1	0.000000152	0.2	1.63218	1.2E+21	0.57	0.12
141004A	-10.6117	-10.697	-10.5264	3.30337	3.22143	3.3853	1.54959	1.45185	1.64733	2.08	0.21	0.2	2	5	0.57	4.30E-07	1.11E-08	-1.69E+00	0.041742424	0.00E+00	0.00E+00	3.92	 1.112460e+00 	0.00000067	0.3	0.00000043	0.3	1.79496	3.14E+21	1.08	0.08
141121A	-12.6568	-12.8243	-12.4893	5.76634	5.67625	5.85644	2.33322	2.03632	2.63012	1.82	0.19	0.17	4.4	6.2	1.47	5.77E-08	1.27E-08	-1.85E+00	0.336406061	0.00E+00	0.00E+00	549.9	 3.806260e+01 	0.0000053	4	5.77E-08	0.3	1.93447	3.94E+21	0.82	0.13
150120B	-10.791	-10.8621	-10.7199	3.39431	3.30378	3.48485	1.17705	1.11935	1.23476	1.92	0.2	0.19	2	5.5	0.46	7.70E-08	1.06E-08	-1.94E+00	0.219048485	0.00E+00	0.00E+00	24.3	 3.277924e+00 	0.00000054	0.8	0.000000077	0.2	2.01678	3.36E+21	0.92	0.25
150910A	-9.97065	-10.0028	-8.59487	3.85419	3.82551	3.88287	2.03808	1.97145	2.10471	1.6645	0.096509067	0.091591484	2.2	5.5	1.36	8.28E-08	2.18E-08	-1.46E+00	0.570074545	0.00E+00	0.00E+00	112.2	 3.648014e+01 	0.0000048	4	8.28E-08	0.4	1.78547	6.96E+20	0.6645	0.12
151031A	-11.5208	-11.6135	-9.57936	3.69323	3.5264	3.86005	0.897942	0.773473	1.02241	2.24	0.28	0.26	2	5	1.167	1.03E-07	8.29E-09	-2.05E+00	0.124681818	0.00E+00	0.00E+00	5	 2.236068e+00 	0.00000032	0.3	0.000000103	0.2	2.12551	9.69E+21	1.24	0.18
151112A	-11.6171	-11.6643	-11.5699	4.43227	4.36926	4.49529	1.1526	1.08406	1.22114	2.24	0.18	0.17	2	5.8	4.1	1.19E-07	1.37E-09	-1.881	0.224	0.00E+00	0.00E+00	19.32	 2.272541e+01 	0.00000094	1.2	0.000000119	0.2	2.17922	1.04E+21	1.24	0.21
151215A	-10.7285	-10.8215	-10.6355	3.06337	2.94749	3.17925	1.07478	1.00338	1.14617	2.015	1.611839012	0.903119593	2	5.5	2.59	1.15E-07	1.23E-08	4.52E-01	0.749292727	0.00E+00	0.00E+00	17.8	 1.013714e+00 	0.00000031	0.7	0.000000115	0.2	2.20942	3.83E+11	1.015	0.33
160121A	-11.1726	-11.242	-11.1032	3.8244	3.70401	3.94478	0.798663	0.692615	0.904711	2.02	0.27	0.21	2.4	5	1.96	7.79E-08	8.23E-09	-1.82E+00	0.152063636	0.00E+00	0.00E+00	12	 2.395617e+00 	0.00000061	0.5	7.79E-08	0.2	2.2054	2.42E+16	1.02	0.13
160227A	-10.9957	-11.0263	-10.9652	4.47751	4.43866	4.51636	1.10229	1.06795	1.13663	1.679	0.097	0.095	3.2	6.2	2.38	4.88E-08	6.88E-09	1.99E+00	1.626028758	0.00E+00	0.00E+00	316.5	 7.575925e+01 	0.0000031	2	4.88E-08	0.1	1.72551	2.63E+21	0.679	0.51
160327A	-11.2238	-11.2911	-11.1565	3.76407	3.70374	3.8244	1.49693	1.39653	1.59733	1.78	0.19	0.15	2.45	5	4.99	1.25E-07	8.77E-09	-1.57E+00	0.101963636	0.00E+00	0.00E+00	28	 9.374720e+00 	0.0000014	1	0.000000125	0.2	1.93554	5.33E+20	0.78	0.11
160804A	-11.5213	-11.58	-11.4625	4.38419	4.28882	4.47957	0.948229	0.878166	1.01829	1.92	0.18	0.17	3.1	6	0.736	2.01E-07	1.53E-08	-1.66E+00	0.116227273	0.00E+00	0.00E+00	144.2	 1.920321e+01 	0.0000114	3	0.000000201	0.3	1.87827	2.01E+21	0.92	0.23
161108A	-11.8136	-11.9471	-11.68	4.69106	4.50927	4.87285	0.883711	0.802456	0.964967	1.84	0.24	0.23	2.8	6	1.159	3.05E-08	5.31E-09	4.85E-02	1.608475758	0.00E+00	0.00E+00	105.1	 1.166004e+01 	0.0000011	1	3.05E-08	0.1	2.00325	1.45E+21	0.84	0.17
161117A	-10.7485	-10.7868	-10.7101	4.08464	4.04445	4.12483	1.141	1.11735	1.16465	2.375	2.050737672	0.70215739	3	6.2	1.549	4.60E-07	1.15E-08	-1.77E+00	0.041312121	0.00E+00	0.00E+00	125.7	 1.093376e+00 	0.00002	0.0	0.00000046	0.3	1.92624	7.54E+21	1.375	0.12
161129A	-10.4365	-10.6428	-10.4303	3.70506	3.65434	3.75579	2.32574	2.21946	2.43202	1.71	0.17	0.16	2	5	0.645	2.91E-07	1.29E-08	-1.16E+00	0.070393939	0.00E+00	0.00E+00	35.53	 2.095133e+00 	0.0000036	1	0.000000291	0.2	1.74506	3.26E+21	0.71	0.06
161219B	-10.1364	-10.1641	-10.1087	4.0135	3.97509	4.05191	0.871656	0.862988	0.880324	1.73	0.1	0.1	3	7	0.1475	3.54E-07	1.90E-08	-8.52E-01	0.34230303	0.00E+00	0.00E+00	6.94	 7.931809e-01 	0.0000015	1	0.000000354	0.4	1.86204	1.47E+21	0.73	0.35
170202A	-10.6535	-10.6983	-10.6086	3.77629	3.70764	3.84495	1.1958	1.13664	1.25495	2.04	0.15	0.15	2.4	6	3.645	3.92E-07	1.79E-08	-4.91E-01	0.263834121	0.00E+00	0.00E+00	46.2	 1.171811e+01 	0.0000033	1	0.000000392	0.3	1.99768	5.19E+21	1.04	0.07
170519A	-11.0633	-11.1163	-11.0103	4.1513	4.09907	4.20354	1.37345	1.30671	1.4402	1.975	1.002110273	0.553263048	2.9	5.5	0.818	5.42E-08	7.71E-09	-1.40E+00	0.215418182	0.00E+00	0.00E+00	216.4	 1.438385e+02 	0.0000011	2	5.42E-08	0.1	1.97351	2.19E+21	0.975	0.26
170531B	-11.3962	-11.4804	-11.3121	3.80257	3.68822	3.91692	1.02082	0.913396	1.12825	1.99	0.35	0.28	3	5	2.366	5.15E-08	8.80E-09	-1.72E+00	0.280269697	0.00E+00	0.00E+00	164.13	 9.106015e+00 	0.000002	2	5.15E-08	0.2	2.06685	4311070000	0.99	0.14
170705A	-10.1867	-10.2272	-10.1461	3.63746	3.57143	3.70349	0.774169	0.746836	0.801502	1.66	0.18	0.17	2.8	5	2.01	1.13E-06	2.41E-08	-9.17E-01	0.134438788	0.00E+00	0.00E+00	217.3	 1.555201e+01 	0.0000095	3	0.00000113	0.4	1.89159	1.23E+21	0.66	0.05
170903A	-11.2604	-11.3013	-11.2194	4.41384	4.34791	4.47978	0.971187	0.919918	1.02246	2.14	0.2	0.19	2	6	0.886	2.56E-07	1.98E-08	-1.85E+00	0.123881818	0.00E+00	0.00E+00	29.2	 4.506508e+00 	0.0000024	2	0.000000256	0.5	2.20256	5.49E+21	1.14	0.12
171205A	-12.4293	-12.5012	-12.3574	5.48376	5.37422	5.59331	1.13263	1.01717	1.24808	1.67	0.16	0.14	3	6.6	0.0368	5.89E-08	1.28E-08	-1.99E+00	0.425384848	0.00E+00	0.00E+00	189.4	 3.388084e+01 	0.0000036	3	5.89E-08	0.3	1.66173	4.73E+19	0.67	0.14
