GRBID	Fbest	F_min	F_max	T_abest	T_amin	T_amax	Alpha_best	Alpha_min	Alpha_max	Photonindex_plateau	Photonerror_min	Photon_errormax	Tt	Tfinal	Redshift	PeakFlux	PeakFluxErr	PhinPrompt	PhinPromptErr	Epeak	Epeakerr	T90	T90Err	Fluence	FluenceErr	PeakFlux	PeakErr	Gamma	NH	Beta	IndexErr
60218	-11.8228	-11.983	-11.6626	5.07614	4.9355	5.21678	1.3185	1.21034	1.42681	4.17	0.42	0.38	4.2	6	0.0331	4.68E-09	8.88E-11	-2.32	0.321	0.00E+00	0.00E+00	2100	 N/A 	0.00000157	1.52	4.68E-09	0.11	3.52495	3.98E+21	3.17	0.17
060223A	-10.9636	-11.1618	-10.7654	2.78682	2.55205	3.02159	1.1892	1.00915	1.36925	1.84	0.26	0.17	2	4	4.41	9.94E-08	8.73E-09	-1.58E+00	0.131760606	0.00E+00	0.00E+00	11.3	 1.072604e+00 	0.000000673	0.48	9.94E-08	0.18	2.01015	3.15E+22	0.81	0.12
60306	-10.7056	-10.7405	-10.6706	3.61496	3.57044	3.65948	1.03794	1.01296	1.06292	1.76	0.24	0.22	2.4	6	1.55	4.70E-07	1.72E-08	-8.19E-01	0.222917273	0.00E+00	0.00E+00	61.2	 3.363018e+00 	0.00000213	1.18	0.00000047	0.35	2.28823	4.17E+21	0.76	0.10
060502A	-10.5532	-10.6099	-10.4964	3.3865	3.31142	3.46159	0.897152	0.876627	0.917678	1.87	0.22	0.19	2.3	6.4	1.51	1.67E-07	1.21E-08	-9.37E-01	0.122572424	0.00E+00	0.00E+00	28.4	 9.861223e+00 	0.00000231	1.02	0.000000167	0.21	2.02719	2.86E+21	0.87	0.08
060510B	-12.2656	-12.4862	-12.045	4.43617	4.11989	4.75245	1.00735	0.775981	1.23872	2.38	0.54	0.48	3.2	6	4.9	4.51E-08	6.22E-09	-1.40E+00	0.216151515	0.00E+00	0.00E+00	275.2	 9.031047e+00 	0.00000407	1.76	4.51E-08	0.11	2.1317	1E+22	1.38	0.08
60526	-11.305	-11.3729	-11.2372	3.8752	3.78304	3.96736	1.05873	0.996411	1.12104	1.93	0.156	0.095	2.95	6	3.21	1.30E-07	1.05E-08	-3.36E-01	0.510913333	0.00E+00	0.00E+00	298.2	 2.289869e+01 	0.00000126	1.65	0.00000013	0.18	1.90677	1.29E+16	0.93	0.24
60604	-11.7689	-11.8109	-11.727	4.45991	4.40997	4.50985	1.21596	1.16901	1.26291	2.02	0.14	0.14	2.6	6.2	2.1357	2.32E-08	3.22E-09	-1.75E+00	0.84	0.00E+00	0.00E+00	95	 2.262742e+01 	0.000000402	1.06	2.32E-08	0.13	2.1711	9.77E+21	1.02	0.42
60605	-11.2609	-11.3141	-11.2078	4.04162	4.00425	4.079	1.9179	1.8329	2.0029	1.835	0.50798622	0.305	2.31	5	3.8	4.73E-08	6.93E-09	-8.51E-01	0.258882424	0.00E+00	0.00E+00	79.1	 6.632779e+00 	0.000000697	0.90	4.73E-08	0.12	2.02128	5.93E+21	0.835	0.20
060607A	-11.0226	-11.0987	-10.9465	4.37412	4.34828	4.39996	3.43151	3.2684	3.59463	1.564	0.078654307	0.0545	2.7	5.4	3.082	1.28E-07	7.57E-09	-1.08E+00	0.095376667	0.00E+00	0.00E+00	102.2	 2.806196e+01 	0.00000255	1.12	0.000000128	0.13	1.61002	6.25E+21	0.564	0.08
60614	-11.7815	-11.8244	-11.7386	5.03344	5.00454	5.06234	1.9453	1.88548	2.00514	1.783	0.083	0.071	2.7	6.5	0.125	8.37E-07	3.29E-08	-1.60E+00	0.062339394	0.00E+00	0.00E+00	108.7	 3.372837e+00 	0.0000204	3.63	0.000000837	0.74	1.89544	3.25E+20	0.783	0.04
60708	-10.8688	-10.93	-10.8077	3.50569	3.44297	3.56842	1.12969	1.10116	1.15821	2.485	1.069824752	0.401621713	2.27	6.2	1.92	6.89E-08	7.96E-09	-8.45E-01	0.302002121	0.00E+00	0.00E+00	10.2	 3.672148e+00 	0.000000494	0.37	6.89E-08	0.14	2.20484	6.18E+20	1.485	0.12
60714	-10.8586	-10.8938	-10.8234	3.73449	3.68772	3.78125	1.20488	1.16958	1.24019	1.87	0.15	0.14	2.46	6.2	2.71	9.13E-08	5.49E-09	-6.51E-01	0.467112424	0.00E+00	0.00E+00	115	 8.968655e+00 	0.00000283	1.67	9.13E-08	0.13	2.04425	1.03E+22	0.87	0.11
60729	-11.1507	-11.1623	-11.1391	5.1057	5.09287	5.11852	1.35481	1.34139	1.36824	2.317	0.420429542	0.26564497	2.75	7.2	0.54	7.60E-08	6.11E-09	-1.83E+00	0.122475758	0.00E+00	0.00E+00	115.3	 2.212824e+01 	0.00000261	2.11	0.000000076	0.13	2.02393	9.13E+20	1.317	0.14
60814	-10.9108	-10.9461	-10.8755	4.22387	4.18901	4.25872	1.29504	1.27047	1.3196	1.97	0.1	0.1	3.03	6.2	0.84	6.06E-07	1.48E-08	-1.30E+00	0.03990303	0.00E+00	0.00E+00	145.3	 4.819031e+00 	0.0000146	2.39	0.000000606	0.29	2.11591	1.02E+22	0.97	0.03
060904B	-11.1163	-11.2029	-11.0296	3.87074	3.78945	3.95204	1.36265	1.3205	1.4048	2.58	0.761593724	0.48931074	2.69	6.2	0.703	2.09E-07	1.19E-08	-1.21E+00	0.088072727	0.00E+00	0.00E+00	171.5	 2.116182e+01 	0.00000162	1.43	0.000000209	0.21	2.18877	3.9E+21	1.58	0.14
60906	-11.8833	-11.9717	-11.7948	4.33479	4.26264	4.40693	1.71887	1.54924	1.88851	2.06	0.18	0.17	2.5	6	3.685	1.22E-07	1.18E-08	-2.00E+00	0.150721212	0.00E+00	0.00E+00	43.5	 2.594496e+00 	0.00000221	1.36	0.000000122	0.28	2.07859	2.63E+22	1.06	0.11
