"Index","X.name","z","InvRedshift","Label","LabelNo","LogFlux1.100m","LogEnergy_Flux100","LogSignificance","Lognu","Lognufnu","Gaia_G_Magnitude","PL_Index","LogVariability_Index","LogPivot_Energy","LP_Index","LP_beta","LogFlux1.100mSqr","LogFlux1.100mLogEnergy_Flux100","LogFlux1.100mLogSignificance","LogFlux1.100mLognu","LogFlux1.100mLognufnu","LogFlux1.100mGaia_G_Magnitude","LogFlux1.100mPL_Index","LogFlux1.100mLogVariability_Index","LogFlux1.100mLogPivot_Energy","LogFlux1.100mLP_Index","LogFlux1.100mLP_beta","LogEnergy_Flux100Sqr","LogEnergy_Flux100LogSignificance","LogEnergy_Flux100Lognu","LogEnergy_Flux100Lognufnu","LogEnergy_Flux100Gaia_G_Magnitude","LogEnergy_Flux100PL_Index","LogEnergy_Flux100LogVariability_Index","LogEnergy_Flux100LogPivot_Energy","LogEnergy_Flux100LP_Index","LogEnergy_Flux100LP_beta","LogSignificanceSqr","LogSignificanceLognu","LogSignificanceLognufnu","LogSignificanceGaia_G_Magnitude","LogSignificancePL_Index","LogSignificanceLogVariability_Index","LogSignificanceLogPivot_Energy","LogSignificanceLP_Index","LogSignificanceLP_beta","LognuSqr","LognuLognufnu","LognuGaia_G_Magnitude","LognuPL_Index","LognuLogVariability_Index","LognuLogPivot_Energy","LognuLP_Index","LognuLP_beta","LognufnuSqr","LognufnuGaia_G_Magnitude","LognufnuPL_Index","LognufnuLogVariability_Index","LognufnuLogPivot_Energy","LognufnuLP_Index","LognufnuLP_beta","Gaia_G_MagnitudeSqr","Gaia_G_MagnitudePL_Index","Gaia_G_MagnitudeLogVariability_Index","Gaia_G_MagnitudeLogPivot_Energy","Gaia_G_MagnitudeLP_Index","Gaia_G_MagnitudeLP_beta","PL_IndexSqr","PL_IndexLogVariability_Index","PL_IndexLogPivot_Energy","PL_IndexLP_Index","PL_IndexLP_beta","LogVariability_IndexSqr","LogVariability_IndexLogPivot_Energy","LogVariability_IndexLP_Index","LogVariability_IndexLP_beta","LogPivot_EnergySqr","LogPivot_EnergyLP_Index","LogPivot_EnergyLP_beta","LP_IndexSqr","LP_IndexLP_beta","LP_betaSqr"
"3","4FGL J0001.5+2113",1.106,0.474833808167142,"FSRQ",3,-8.86646109162978,-10.7144426909922,1.64478014935137,14.1986570869544,-11.9393021596464,18.4836,2.659308,3.19435269320434,2.5511869261645,2.5481505,0.15877607,78.6141322893848,94.9991892381797,-14.5833791985089,-125.891840614875,105.859358059716,-163.884120233248,-23.5786509126598,-28.3226038672391,-22.6199996183121,-22.593077263867,-1.40778184693689,114.799282178557,-17.6229026495069,-152.130697647224,127.922968759971,-198.041472923224,-28.4930031636972,-34.2257088661545,-27.3345461143982,-27.3020125002732,-1.70119710271597,2.70530173970031,23.3536693240698,-19.6375271892943,30.401458368551,4.37397700941129,5.25400789980957,4.1961416134401,4.19114735995977,0.261151728128023,201.601863072921,-169.522057222353,262.442298132431,37.7586023805946,45.3555185055977,36.223428329331,36.1803151554515,2.25440697154427,142.546936059337,-220.68128539804,-31.7502817475649,-38.1383420086468,-30.4593915772174,-30.423138767754,-1.89567547545117,341.64346896,49.1535853488,59.0431374401117,47.1551186684541,47.0989945818,2.934753367452,7.071919038864,8.49476767185983,6.78439180224466,6.776317009854,0.42223447315956,10.2038891285818,8.14939082846126,8.13969141236498,0.5071867668209,6.50855473223267,6.50080824149953,0.405067433971779,6.49307097065025,0.404585322158535,0.0252098404046449
"12","4FGL J0003.9-1149",1.30999,0.432902306936394,"BLL",2,-9.45469288353418,-11.4934949675951,1.09224638040687,12.3891660843645,-12.0877779434676,19.3223,2.0871086,0.639344423849008,3.2246463217818,1.9320688,0.27118722,89.3912175219518,108.667465077058,-10.3268540798988,-117.135760410764,114.286228099844,-182.686412303512,-19.732970827583,-6.04480517429247,-30.4880406304651,-18.2671171338584,-2.56399187903942,132.100426570135,-12.5537282765803,-142.394818043344,138.930814962652,-222.080757812363,-23.9881721909245,-7.34830191806858,-37.0624562716733,-22.2062230298476,-3.11688894834611,1.19300215551191,13.5320218119067,-13.2028317059145,21.1047122361357,2.27963681386605,0.698321632782394,3.5221082730585,2.11029515349704,0.296203259457601,153.491436265968,-149.757488532538,239.387183831917,25.8575350815055,7.92094425217771,39.95067884389,23.9367212496189,3.3597835085371,146.114375610581,-233.563671757064,-25.2285053007015,-7.72825342488103,-38.978808683918,-23.3544186259019,-3.27805089646629,373.35127729,40.32773850178,12.3536047609377,62.3075836233645,37.33201297424,5.239960821006,4.35602230819396,1.33438124537731,6.73018707014917,4.03243740827168,0.565997179072092,0.40876129230682,2.06165964471641,1.23525741377264,0.173382036926114,10.3983439005809,6.23023854934938,0.874482871487233,3.73288984793344,0.523952366720736,0.0735425082913284
"14","4FGL J0004.3+4614",1.81,0.355871886120996,"FSRQ",3,-9.61798295742513,-11.6038006529043,0.852177712218137,12.4099331233313,-12.6401645176601,20.408297,2.584969,1.65186207675905,2.96242746188331,2.526971,0.06729238,92.5055961693203,111.605156920992,-8.19623071281158,-119.358525282986,121.572886909905,-196.28665273607,-24.8621877874723,-15.8875813022854,-28.4925768410018,-24.3043640119075,-0.647216964004576,134.648189592341,-9.88850029342728,-144.00239007901,146.673949282842,-236.813810053264,-29.9954649699373,-19.1678782448044,-34.375417716383,-29.3224677396701,-0.780847362979482,0.726206853201338,10.5754684178205,-10.7716664807205,17.3914958477283,2.20285296857481,1.40768004547242,2.5245146570799,2.15342836562158,0.0573450664381135,154.006440125555,-156.863596332067,253.265600931083,32.0792924158846,20.4994979015469,36.7635266846919,31.3595411145976,0.835093935509796,159.773759033514,-257.964231605269,-32.6744334330513,-20.879808410718,-37.4455704898393,-31.9413291713561,-0.850586753984901,416.498586440209,52.754815087793,33.7116918655354,60.4580994830707,51.571174678387,1.37332287687686,6.682064730961,4.27001226069775,7.65778315371703,6.532141698899,0.17394871623622,2.72864832063471,4.89352157943459,4.17420756396988,0.111157730576859,8.77597646692037,7.48596828578272,0.199348794487487,6.385582434841,0.17004589278098,0.0045282644060644
"15","4FGL J0004.4-4737",0.88,0.531914893617021,"FSRQ",3,-9.36051351073141,-11.1864190114318,1.29120784745231,13.1205739312059,-11.5985994592185,19.8476,2.36556,2.14339909015373,2.96169760651522,2.3042858,0.09203692,87.6192131845853,104.71062629321,-12.0863685012398,-122.815309551603,108.568846943576,-185.783727955593,-22.1428563404458,-20.0633161422734,-27.7230104604866,-21.5692983634865,-0.861512833146106,125.135970299323,-14.4439920124505,-146.772237664938,129.746793496584,-222.023569971294,-26.4621453566826,-23.9769603311813,-33.1307904116339,-25.7767064808924,-1.02956355164163,1.66721770532243,16.9413880230512,-14.976202641199,25.6273768730945,3.05442963561929,2.76757372542864,3.82416719131318,2.97531190773293,0.118838793359341,172.149460284239,-152.18028170312,260.411903157001,31.0375048687033,28.1226262264413,38.8591724081584,30.2335521975278,1.20757721326048,134.527509415383,-230.204362626784,-27.4371829367488,-24.8604275279464,-34.351544257296,-26.7264880337648,-1.06749937054013,393.92722576,46.950688656,42.5413277817351,58.7825894150715,45.73454284408,1.826711973392,5.5958741136,5.07033915170405,7.00607339006814,5.450926317048,0.2177188564752,4.59415965967183,6.3480999551152,4.93900408717416,0.197271850588551,8.77165271243799,6.82459773858701,0.272585525675033,5.30973304808164,0.212079367831736,0.0084707946430864
"16","4FGL J0005.9+3824",0.229,0.81366965012205,"FSRQ",3,-9.37161106994969,-11.077793722561,1.21631757525632,13.1205739312059,-11.1390633792999,18.3994,2.6721156,1.42764051909767,2.6532730212579,2.5520496,0.18990411,87.8270940464035,103.816774280972,-11.3988552528465,-122.960915897782,104.390969674318,-172.432020720432,-25.0420281371453,-13.3792916926845,-24.8654428176194,-23.9168162824207,-1.77970745950494,122.717513759612,-13.4741151998151,-145.347011531509,123.396246378417,-203.824757818889,-29.6011454196373,-15.8151071805339,-29.3924112191312,-28.2710790385443,-2.10371855764653,1.47942844387742,15.9587846699756,-13.5486385601366,22.3795135941712,3.2501411673966,1.73646425452656,3.22722260770943,3.10410278140587,0.23098370660641,172.149460284239,-146.150904592492,241.410687989829,35.0596902825285,18.7314629780061,34.8124648350882,33.4843554529043,2.49165091509485,124.07873296806,-204.952082741091,-29.764865025216,-15.9025782250856,-29.5549763463783,-28.427442241517,-2.11535391727954,338.53792036,49.16532377064,26.2677289670857,48.8186316273326,46.95618141024,3.494121681534,7.14020177976336,3.81482050227299,7.08985223116236,6.81937154813376,0.507445734835116,2.03815745176948,3.78792007337648,3.64340941570701,0.271114802179182,7.03985772533502,6.77128435259201,0.503867451688992,6.51295716086016,0.484644707963856,0.0360635709948921
"17","4FGL J0006.3-0620",0.347,0.742390497401633,"BLL",2,-9.85387196432176,-11.8446639625349,0.720561612861921,12.9201233262907,-11.0872466963287,17.1541,2.127844,1.30989787853824,3.33489753012745,2.1056306,0.16953455,97.0987926892464,116.715802147235,-7.10032187554656,-127.313241020516,109.252309382472,-169.034305063172,-20.9675023360503,-12.9075659814525,-32.8616532760088,-20.748614336558,-1.67057174922891,140.296064385374,-8.53481016865165,-153.034519154423,131.324711387739,-203.184550079721,-25.2035971446962,-15.5153001965229,-39.5007405938474,-24.9404868862308,-2.00807977478958,0.519209037930173,9.30974490236698,-7.9890443617046,12.3605859631947,1.53324270455856,0.943862128043925,2.40299914303787,1.51723658122742,0.12216008878382,166.929586766562,-143.248594665576,221.633087551524,27.4920068991078,16.9240421355607,43.087287369789,27.2050070316115,2.1904072940672,122.927039305251,-190.191738553492,-23.5919313593028,-14.5231609263511,-36.9748316235002,-23.3456459135386,-1.87967137940107,294.26314681,36.5012487604,22.4701191982329,57.2071657215593,36.12019787546,2.908212624155,4.527720088336,2.78725834146033,7.09614170009651,4.4804534384264,0.3607430750102,1.71583245219899,4.36837519985637,2.75816105592521,0.222072947383936,11.1215415364502,7.02206228730078,0.565380352066269,4.43368022365636,0.35697713623723,0.0287419636437025
"20","4FGL J0008.0+4711",0.28,0.78125,"BLL",2,-8.68824613894425,-10.7375489102696,1.67386390141622,13.5250448070368,-11.8860566476932,19.0094,2.0470488,0.808481346815508,3.1343558585361,1.9286299,0.07913111,75.4856209708796,93.2904678613746,-14.5429415785976,-117.508918323786,103.268985776593,-165.158346153647,-17.7852638328304,-7.02428493987828,-27.2320551860035,-16.7564112821274,-0.687510560927872,115.294956600431,-17.9731955105913,-145.225830129146,127.62711460484,-204.114362254878,-21.9802866117086,-8.68110800447213,-33.6552993332213,-20.7087578810583,-0.849674163948922,2.80182036046433,22.6390842675359,-19.8956411527619,31.8191484475815,3.42648109075739,1.35328774140285,5.24648512579602,3.22826396880197,0.132454708507996,182.926837032354,-160.759448739028,257.102986754886,27.686426742191,10.9347464413332,42.3923034278992,26.084805813691,1.07025180838056,141.278342632171,-225.946805238658,-24.3313379973923,-9.60965508685239,-37.255131288589,-22.9238042438348,-0.940556856054839,361.35728836,38.91316945872,15.3687453141547,59.5822242572561,36.66209722106,1.504234922434,4.19040878958144,1.65500077082107,6.41617939898929,3.94799952243912,0.161985243768168,0.653642088148617,2.53406824590834,1.55926129906066,0.0639760263878061,9.82418664793956,6.04501242601289,0.248025058220964,3.71961329117401,0.152614624766189,0.0062617325698321
"22","4FGL J0008.4-2339",0.147,0.871839581517001,"BLL",2,-9.7851561519523,-11.5702477199976,1.01483438579759,16.9100905455941,-11.9318141382538,18.3753,1.6560616,1.14096475476906,3.81703768207907,1.3491105,0.27816898,95.74928091809,113.216680656947,-9.93031293340007,-165.46787653229,116.754664518886,-179.805179838969,-16.204821353252,-11.1645182892892,-37.3503097570298,-13.2012569087384,-2.7219269059293,133.870632302109,-11.7418852384498,-195.653936580113,138.054045328567,-212.606772929272,-19.1610429515756,-13.2012448524643,-44.1640715382203,-15.6095426866498,-3.21848400661906,1.02988883059718,17.1609413526197,-12.1088152724459,18.6478862893465,1.68062825667898,1.15789026612276,3.87366109165899,1.36912372564059,0.282295445966243,285.95116226019,-201.768057451072,310.727986802455,28.0041516050814,19.2938173124763,64.5464528199016,22.8135807110117,4.70386263877555,142.368188629834,-219.250664334656,-19.7598192126993,-13.6137793922027,-45.5441841812787,-16.0973357379667,-3.31906056838765,337.65165009,30.43062871848,20.9655696583078,70.1392125195076,24.79031017065,5.111438458194,2.74254002299456,1.88950791732645,6.32124953104416,2.2342100932068,0.460664966089168,1.30180057162521,4.35510546287759,1.53928753078886,0.317381002050058,14.5697766664116,5.14960561578854,1.0617814786455,1.82009914121025,0.37528069169229,0.0773779814342404
"24","4FGL J0009.1+0628",1.562629,0.390224257978818,"BLL",2,-9.32148162095989,-11.2898826348882,1.18023105118999,13.3891660843645,-11.7670038896078,17.9922,2.0990546,1.11547739083121,3.27450738492681,2.0630696,0.046000473,86.890019609893,105.238433483904,-11.0015020521537,-124.806865575383,109.685910490743,-167.713961620634,-19.5662988752913,-10.3979019972294,-30.5232604062926,-19.2308653591611,-0.428792563624961,127.46144990955,-13.3246700499857,-151.162113671501,132.848092877945,-203.129826343435,-23.6980800782222,-12.5936088243556,-36.9688040628983,-23.2918136516057,-0.519339941319343,1.39294533419303,15.8023095623069,-13.8877833699886,21.2349531192205,2.47736941706319,1.31652105355938,3.86467529304155,2.43489880268611,0.0542911866040268,179.269768434697,-157.550369393323,240.900554023104,28.1045906595494,14.9353120491926,43.8429232212632,27.6227815180035,0.615907972956326,138.462380538046,-211.714287382602,-24.6995836426992,-13.1258267966804,-38.5311411349833,-24.2761480077317,-0.541287744714801,323.71926084,37.76661017412,20.0698923113132,58.9155917710801,37.11916085712,0.8276497103106,4.40603021378116,2.34144794842024,6.87336978906458,4.33049573400016,0.0965575044528258,1.24428980945559,3.65263895399567,2.30130749451118,0.0513124875990413,10.7223986139402,6.75553664081799,0.150628888548626,4.25625617444416,0.0949021774319208,0.00211604351622373
"27","4FGL J0009.8-4317",0.56,0.641025641025641,"BLL",2,-9.68402965454308,-11.6143937264017,1.02592167594331,14.103803720956,-12.012780770092,18.9408,2.0651708,1.22846141744679,3.32716146433702,2.046758,0.022229282,93.7804303500698,112.474133266013,-9.9350559330736,-136.581653475593,116.332125211096,-183.42326888077,-19.9991752688965,-11.8964567960167,-32.2203302860927,-19.8208651676733,-0.215269026087201,134.894141631879,-11.9154582768555,-163.807129455072,139.521165612795,-219.985908693029,-23.985706783468,-14.2678345799205,-38.6429632381214,-23.7718532746625,-0.258179633403214,1.05251528517034,14.4693979505787,-12.3241721803924,19.4317772797071,2.1187034882452,1.26030519621871,3.41340706562665,2.09981339761039,0.0228055022444566,198.917279399251,-169.425902124252,267.137325517883,29.1267636134496,17.3259787104368,46.9256322409378,28.8670730962964,0.313517430185779,144.306901830292,-227.531678010158,-24.8084440731955,-14.7572376923047,-39.9684612577789,-24.587255143432,-0.267035491342552,358.75390464,39.11598708864,23.2680420155761,63.0190998637147,38.7672339264,0.4210403845056,4.26493043317264,2.53698264823771,6.87115670303406,4.2269048562664,0.0459072640913656,1.50911745415537,4.08728948855378,2.51436323385055,0.0273078152745443,11.0700034097693,6.80989434442351,0.0739604104502806,4.189218310564,0.045497960767756,0.000494140978235524
