,Fbest,T_abest,Alpha_best,Photonindex_plateau,Beta,Gamma,log10PeakFlux,log10Epeak,log10T90,log10Fluence,log10NH,log10z
188,-9.169100889,2.311950854,1.119196934,1.844,0.844,1.59788,-6.06198090252379,-inf,0.6232492903979004,-5.638272163982407,20.996511672154178,0.33162971762993226
190,-10.01825047,3.750945731,1.136499703,1.92,0.9,1.96878,-6.6777807052660805,-inf,1.414973347970818,-5.46344155742847,21.620136054973756,0.41697317260303635
191,-10.10808621,2.455171016,1.045731532,1.615,0.63,1.8948,-6.230622673923861,-inf,0.6989700043360189,-5.8696662315049934,21.367355921026018,-0.026872146400301365
192,-11.5614784,3.040958613,1.320391508,1.79,0.79,2.19593,-6.823908740944319,-inf,-0.3279021420642826,-6.853871964321762,21.357934847000454,0.34458874257871386
193,-8.315649473,2.071571247,1.742079764,1.98,0.98,2.08823,-7.200659450546418,-inf,1.5763413502057928,-5.853871964321762,21.350248018334163,0.02530586526477026
194,-11.36748516,3.66139836,1.146279559,1.47,0.61,1.75592,-7.100726812682396,-inf,1.3053513694466237,-5.920818753952375,22.01703333929878,0.546542663478131
195,-10.5089,3.94739,2.5054,1.52,0.52,1.52512,-6.804100347590766,-inf,2.531478917042255,-5.443697499232713,21.894869656745254,0.5594277997594899
196,-11.6776,4.78411,1.97901,1.837,0.837,1.91015,-6.197226274708024,-inf,2.1760912590556813,-5.080921907623926,20.869740836888568,0.2052991186159765
197,-10.7527,3.60698,0.998947,1.83,0.83,1.88453,-6.600326278518962,-inf,1.7781512503836436,-5.3979400086720375,21.743123902235062,-0.1617807780923742
198,-10.9244,4.02089,1.86904,1.915,0.82,2.03508,-6.609064892896621,-inf,2.4683473304121573,-5.113509274827518,21.661769159290447,0.3222192947339193
199,-11.76,3.44619,1.42452,1.63,0.63,1.46604,-7.163675884293248,-inf,1.806179973983887,-5.920818753952375,22.130693922688533,0.5854607295085006
200,-10.1673,3.52924,1.37252,1.53,0.53,1.88559,-6.453457336521869,-inf,1.824125833916549,-5.236572006437063,21.777710217622502,0.38952046584637745
202,-9.76499,2.56606,1.09546,1.86,0.86,2.05668,-6.062482107982653,-inf,-0.09151498112135022,-6.055517327849832,21.608142915319135,0.11394335230683678
203,-9.87283,2.77561,1.42066,2.1,1.1,1.80565,-6.090443970758825,-inf,0.8579352647194289,-5.585026652029182,21.485744134096127,0.12040939455606846
204,-9.79296,3.11887,1.47655,1.98,0.98,1.94118,-6.30189945437661,-inf,2.0132586652835167,-5.079354998593212,21.653633093158906,0.17318626841227402
