Index,X.name,z,Flux1.100m,Energy_Flux100,Significance,Variability_Index,Frac_Variability,Highest_Energy,nu,nufnu,PL_Index,Pivot_Energy,LP_Index,LP_beta,Gaia_G_Magnitude,Label
1253,4FGL J0932.6+5306,0.59719,5.29E-10,6.26E-12,25.033657,358.39075,1.0573977,NA,6.31E+12,5.76E-13,2.4527516,732.10443,2.3982198,0.08304278,18.4382,fsrq
1254,4FGL J0932.7+1041,0.361,1.75E-10,2.00E-12,7.347326,9.824482,0,23.1584,1.80E+14,9.94E-13,1.9468176,3271.6611,1.7492133,0.26112583,18.2924,bll
1255,4FGL J0934.3+3926,0.044399,3.11E-10,4.36E-12,14.3262005,17.256874,0.2731782,NA,1.12E+13,5.77E-13,2.4399297,965.6823,2.4263675,0.014756985,20.055,bll
1256,4FGL J0934.5-1720,0.2499,1.83E-10,1.74E-12,5.637033,8.043386,0,NA,6.31E+14,9.24E-13,1.9393458,4722.4717,1.9448596,0.065240994,18.6987,bll
1257,4FGL J0935.3-1736,NA,3.15E-10,3.77E-12,11.555662,7.2586975,0,NA,2.37E+14,9.43E-13,1.8120775,6084.586,1.7301795,0.10403607,18.2752,bcu
1258,4FGL J0936.3-2111,NA,2.38E-10,3.65E-12,11.565128,18.336153,0.44388512,NA,NA,NA,1.6965795,4700.144,1.472443,0.32588068,NA,bcu
1259,4FGL J0936.5+1847,0.831127,2.33E-10,2.50E-12,9.69149,4.9671817,0,NA,1.32E+14,9.10E-13,2.0702279,2184.361,1.8908066,0.14973013,18.9172,bll
1260,4FGL J0937.1+5008,0.276,3.03E-10,4.58E-12,14.41792,40.536057,0.55889314,NA,8.61E+12,3.98E-12,2.396783,998.7694,2.2502344,0.17634772,18.2059,fsrq
1261,4FGL J0937.9-1434,0.287,2.87E-10,2.60E-12,11.159487,41.946217,0.7423069,NA,5.82E+14,1.07E-12,1.9797237,3062.5906,1.8687172,0.13782024,17.8843,bcu
1262,4FGL J0939.3-1732,NA,4.14E-10,5.72E-12,13.158828,67.54208,0.8069966,NA,1.10E+13,4.38E-13,2.2631688,1277.8053,2.1958714,0.11629773,19.9049,bcu
1263,4FGL J0940.0-2828,NA,4.94E-10,7.18E-12,14.393408,96.335075,0.77595747,NA,3.27E+12,6.84E-13,2.4213119,749.36194,2.3298612,0.17656845,NA,bcu
1264,4FGL J0940.4+6148,0.211,2.28E-10,3.07E-12,12.768432,18.670828,0.4402961,66.8192,2.95E+16,1.44E-12,1.8322301,4910.1055,1.7495425,0.07412522,18.1767,bll
1265,4FGL J0940.9-1335,0.551,6.85E-10,9.47E-12,21.341322,174.36215,0.869364,NA,9.33E+12,8.85E-13,2.405179,663.0639,2.3005428,0.11488782,18.7308,fsrq
1266,4FGL J0941.7+4125,0.819,1.90E-10,2.60E-12,7.71845,27.100792,0.6983237,NA,1.58E+13,2.45E-13,2.4812913,1286.2428,2.8200402,0.6575336,19.4178,bcu
1267,4FGL J0941.9+2724,NA,2.95E-10,4.82E-12,12.643376,22.846586,0.43273583,NA,2.75E+13,3.38E-13,2.4329438,850.3429,2.3972514,0.0954913,NA,bll
1268,4FGL J0942.3+2842,0.366,1.24E-10,1.76E-12,6.5506387,14.361128,0.5437297,24.5733,1.60E+15,4.12E-13,1.8958988,4333.9346,1.8857567,0.011239487,20.4535,bll
1269,4FGL J0942.3-0800,NA,9.52E-10,7.39E-12,26.699749,135.54686,0.63318914,19.1368,1.93E+13,2.39E-12,2.1780684,943.21173,2.0082543,0.14421308,17.636,bll
1270,4FGL J0942.7-2028,NA,1.97E-10,2.41E-12,7.408084,13.801489,0.44294506,49.7473,1.41E+15,4.30E-13,1.9959073,2728.0845,1.915024,0.118793584,NA,bcu
1271,4FGL J0943.7+6137,0.791734,2.65E-10,3.11E-12,11.505861,59.01188,0.56987834,NA,NA,NA,2.7060204,508.97556,2.6945443,0.013704648,18.3648,bcu
1272,4FGL J0944.2+5557,NA,1.03E-10,1.18E-12,5.3628926,3.0685487,0,NA,1.74E+14,2.16E-13,2.2401724,1631.8885,1.8492749,0.65575194,NA,bll
1273,4FGL J0945.2+5200,0.56298,1.81E-10,3.28E-12,10.419047,59.69813,0.77872694,NA,1.32E+13,8.57E-13,2.7179549,531.3759,2.6342087,0.1395213,NA,fsrq
1274,4FGL J0945.5+4635,0.639,6.09E-11,8.04E-13,4.334213,12.3848295,0,NA,5.79E+12,9.29E-13,1.7795888,7375.149,1.9205722,-0.09463379,NA,fsrq
1275,4FGL J0945.7+5759,0.229004,3.53E-10,2.85E-12,14.58001,40.058006,0.6841946,NA,9.66E+13,2.63E-12,2.0928397,1977.8452,1.874648,0.22820137,17.9314,bll
1276,4FGL J0946.0+4735,0.568867,9.70E-11,1.15E-12,4.9551554,3.359234,0,NA,1.58E+14,3.01E-13,2.135355,2990.7812,2.2242591,-0.097514585,NA,bll
1277,4FGL J0946.2+0104,0.577,2.15E-10,2.55E-12,8.017867,10.281201,0.23863707,NA,6.17E+17,1.54E-12,1.8907281,5792.8604,1.7840744,0.120453134,19.6216,bll
1278,4FGL J0946.6+1016,1.007,1.82E-09,2.22E-11,47.036636,291.9387,0.44833177,29.194,3.63E+13,5.15E-13,2.4260159,505.18027,2.344147,0.08006335,19.0654,fsrq
1279,4FGL J0947.1-2541,NA,9.84E-10,8.20E-12,27.81929,26.526745,0.2728731,NA,NA,NA,1.8694302,2074.1123,1.7507532,0.08621926,16.5403,bll
1280,4FGL J0947.6+2215,0.415,1.77E-10,2.08E-12,7.4701657,19.720524,0.36735615,NA,7.59E+13,6.64E-13,2.1536837,1827.6859,2.0009677,0.2561744,19.0867,bll
1281,4FGL J0947.9+1121,0.18683,1.10E-10,3.67E-12,4.661226,15.307448,0,19.5372,NA,NA,2.0472856,4297.057,2.2045698,-0.12031485,19.436913,bll
1282,4FGL J0948.6-0338,NA,1.34E-10,2.15E-12,5.488268,16.64239,0.5278021,NA,1.06E+13,3.97E-13,2.5032141,1002.6949,2.5403593,-0.0481746,NA,bcu
1283,4FGL J0948.9+0022,0.585,2.29E-09,5.00E-11,61.4117,435.79086,0.3642104,NA,5.13E+12,3.21E-12,2.637715,276.8435,2.4529653,0.16523099,18.2067,NLSY1
1284,4FGL J0949.0+4038,1.249964,1.86E-10,3.09E-12,9.779092,31.628849,0.5802478,NA,2.19E+12,1.89E-12,2.6077266,714.3437,2.6178558,-0.018676652,18.2163,fsrq
1285,4FGL J0949.2+1749,0.694321,1.58E-10,2.78E-12,6.2179456,33.001904,0.7733623,NA,5.31E+12,1.00E-12,2.5216506,753.14307,2.5087717,0.013741136,20.3005,fsrq
1286,4FGL J0949.7+5819,1.431,2.30E-10,4.62E-12,11.350604,45.152515,0.6423311,NA,1.22E+13,6.83E-13,2.6281176,720.3352,2.6007028,0.089772224,20.6624,bcu
1287,4FGL J0950.2+0615,0.435,3.23E-10,3.76E-12,12.028071,15.01281,0.342309,25.4895,3.63E+13,9.45E-13,2.0371127,2215.4375,1.9417423,0.13161586,18.9816,bll
1288,4FGL J0950.2+4553,0.3994,4.07E-10,4.76E-12,18.911566,11.070892,0.128358,NA,7.08E+13,8.72E-13,1.98742,2322.984,1.967426,0.015197152,18.2816,bll
1289,4FGL J0952.1+3932,0.7,9.07E-11,1.10E-12,6.3020396,3.5177937,0,60.3382,NA,NA,1.7235255,6429.4863,1.4948274,0.22244285,NA,bll
1290,4FGL J0952.2+7503,0.181,6.61E-11,1.16E-12,8.70611,12.516708,0.24566698,131.874,1.78E+16,1.84E-12,1.492666,14740.214,1.1393194,0.32362914,NA,bll
1291,4FGL J0952.8+0712,0.435,1.77E-10,2.14E-12,8.158714,10.478559,0.14830448,75.3916,1.95E+14,6.66E-13,1.9850639,3000.1687,1.8927968,0.24912994,19.03,bcu
